t,a
Les « petits procès exemplaires » en URSS durant la Grande Terreur (1937-1938),"Werth, Nicolas"
Les « petits procès exemplaires » en URSS durant la Grande Terreur (1937-1938),"Nicolas, Werth"
"Roger Caratini, Dictionnaire des nationalités et des minorités en URSS, Paris, Larousse, (Coll. « Essentielles »), 1990","Claudie, Weill"
"Roger Caratini, Dictionnaire des nationalités et des minorités en URSS, Paris, Larousse, (Coll. « Essentielles »), 1990","Weill, Claudie"
"Roger Caratini, Dictionnaire des nationalités et des minorités en URSS, Paris, Larousse, (Coll. « Essentielles »), 1990","WEILL, CLAUDIE"
IZUCENIE ISTORII DREVNEJ GRECII V SSSR (50- 70- E GODY) (= L'ENSEIGNEMENTDE L'HISTOIRE GRECQUE EN URSS (1950-1970); EN RUSSE),"FROLOV, E. D."
Knaus (William) — La médecine en URSS,"Pressat, Roland"
Knaus (William) — La médecine en URSS,"PRESSAT, Roland"
Le droit retrouvé ? : essai sur les droits de l'homme en URSS / Nadine Marie,"Marie-Schwartzenberg, Nadine. Auteur du texte"
Les paysages naturels caucasiens et leur protection. Réflexions sur la sauvegarde du paysage dans l'ancienne URSS,"Bravard, Y."
"Nicolas Werth, Être communiste en URSS sous Staline","Marie-Hélène, Mandrillon"
LA COOPERATION MILITAIRE DE L'AFRIQUE NOIRE AVEC LES PUISSANCES .2 : AVEC L'URSS ET LES ETATS-UNIS,"YAKEMTCHOUK, R."
"Monaco 1911, pilotes du Lurssen Daimler, M. Lurssen : [photographie de presse] / [Agence Rol]","Agence Rol. Agence photographique,"
"Pudal Bernard, Prendre parti. Pour une sociologie historique du PCF, Heldman Henri, Les fils du peuple de Staline à Gorbatchev. Aristocratie ouvrière, communisme et industrialisation en France et en URSS","Philippe, Buton"
Thomas Schreiber (dir.). L'URSS et l'Europe de l'Est,"Marie-Françoise, Labouz"
"Arctique horizon 2000 : les peuples chasseurs et éleveurs : deuxième dialogue franco-soviétique : actes / du deuxième Colloque bilatéral franco-soviétique, Paris, 25-29 avril 1983 ; [organisé par le] Centre d'études arctiques, CNRS-EHESS et [l'] Institut d'ethnogaphie, Académie des sciences de l'URSS ; publ. sous la dir. de Jean Malaurie ; vol. préparé par Elisabeth Cardin, Arlette Fraysse","Colloque bilatéral franco-soviétique (02 ; 1983 ; Paris). Auteur du texte,"
Républiques méridionales de l’ex-URSS : nouveaux Etats du Sud ?,"Djalili, Mohammad-Reza"
Républiques méridionales de l’ex-URSS : nouveaux Etats du Sud ?,"DJALILI, Mohammad-Reza"
Républiques méridionales de l’ex-URSS : nouveaux Etats du Sud ?,"Galili, M"
Républiques méridionales de l’ex-URSS : nouveaux Etats du Sud ?,"Djalili, Mohammad Reza"
"Echanges culturels entre la RDA et l’URSS : la Gesellschaft für Deutsch-Sowjetische Freundschaft (DSF, Société d’amitié germano-soviétique) - une tentative d’approche biographique","Pailhès, Anne-Marie"
"Echanges culturels entre la RDA et l’URSS : la Gesellschaft für Deutsch-Sowjetische Freundschaft (DSF, Société d’amitié germano-soviétique) - une tentative d’approche biographique","Pailhes, Anne-Marie"
Problemy urbanizacii v SSSR. (Problèmes d'urbanisation en URSS),"P, H"
"Ex-URSS, CEI","Isabelle, Cordonnier"
"Ex-URSS, CEI","Cordonnier, Isabelle"
L'épopée des Juifs d'ex-URSS en Israël.,"Berthomiere, William"
Pertes de guerre en URSS. Un nouvel éclairage,"Blum, Alain"
Pertes de guerre en URSS. Un nouvel éclairage,"Le Noir, Alain"
Pertes de guerre en URSS. Un nouvel éclairage,"BLUM, Alain"
Les exportations de l'OCDE vers l'URSS par pays et par marchandises de 1970 à 1979,"Mourad, G."
La difficile reprise des relations commerciales entre la France et l'URSS (1921-1928),"Jeannesson, Stanislas"
La difficile reprise des relations commerciales entre la France et l'URSS (1921-1928),"Stanislas, Jeannesson"
Privatiser l’agriculture en URSS : Économistes réformistes et pouvoir politique pendant la perestroïka,"Kirtchik, Olessia"
"CNRS-CFEETK 157002. Karnak, KIU 4135 / Temple d’Opet, , Kiosque, Porte, Tableaux extérieursSud (Opet 15 haut, droite) Ptolemees / Ptolemee Neos Dionysos","Soubias Ph.,"
"CNRS-CFEETK 157000. Karnak, KIU 4135 / Temple d’Opet, , Kiosque, Porte, Tableaux extérieursSud (Opet 15 haut, droite) Ptolemees / Ptolemee Neos Dionysos","Soubias Ph.,"
La Chine communiste et l'URSS,"Kerven, Daniel"
Les récents développements de la politique agricole de l'URSS,"Apremont, B."
"Carnet de voyage en URSS, 1926 (I)","christophebouvier,"
"UKAZATEL'LITERATURY PO ISTORII ANTICNOGO MIRA, OPUBLIKOVANNOJ V SSSR V 1982 G. (= INVENTAIRE DES PUBLICATIONS RELATIVES A L'HISTOIRE DU MONDE ANTIQUE, PARUES EN URSS EN 1982; EN RUSSE)","BORSC, I. E."
"Les migrations en provenance des ex-républiques soviétiques en Turquie, vingt ans après la disparition de l’URSS","Braux, Adeline"
"D. Creissels, Les Langues d'URSS. Aspects linguistiques et sociolinguistiques","Hamayon, Roberte"
"D. Creissels, Les Langues d'URSS. Aspects linguistiques et sociolinguistiques","Hamayon, Roberte N."
"D. Creissels, Les Langues d'URSS. Aspects linguistiques et sociolinguistiques","HAMAYON, Roberte"
"D. Creissels, Les Langues d'URSS. Aspects linguistiques et sociolinguistiques","Beffa, Marie-Lise"
"D. Creissels, Les Langues d'URSS. Aspects linguistiques et sociolinguistiques","Marie-Lise, Beffa"
"Inde 1968 - URSS 1969 (Yacoutie) - Sahara 1970, Algérie 1970 (Tipasa, Ouarsenis)","Dresch, Jean"
"Inde 1968 - URSS 1969 (Yacoutie) - Sahara 1970, Algérie 1970 (Tipasa, Ouarsenis)","Dresch., Jean"
"Inde 1968 - URSS 1969 (Yacoutie) - Sahara 1970, Algérie 1970 (Tipasa, Ouarsenis)","Dresch, Jean (1905-1994)"
Responsabilité civile d'une URSSAF au titre d'une circulaire clandestine,"Morvan, Patrick"
"Loulia Zaretskaïa-Balsente, Les intellectuels et la censure en URSS (1965-1985). De la vérité allégorique à l'érosion du système, 2000","Désert, Myriam"
"Loulia Zaretskaïa-Balsente, Les intellectuels et la censure en URSS (1965-1985). De la vérité allégorique à l'érosion du système, 2000","Myriam, Désert"
"Loulia Zaretskaïa-Balsente, Les intellectuels et la censure en URSS (1965-1985). De la vérité allégorique à l'érosion du système, 2000","Desert, Myriam"
"Loulia Zaretskaïa-Balsente, Les intellectuels et la censure en URSS (1965-1985). De la vérité allégorique à l'érosion du système, 2000","DESERT, Myriam"
"Loulia Zaretskaïa-Balsente, Les intellectuels et la censure en URSS (1965-1985). De la vérité allégorique à l'érosion du système, 2000","Myriam, Desert"
Relations commerciales entre la Suisse et l'URSS,"Masnata, A."
Burssens (Amaat). La notation des langues négro-africaines. Signes typographiques à utiliser,"R., Agomatanakahn"
Les relations entre le centre et les régions en URSS à travers les débats sur les nationalités dans le recensement de 1926,"Cadiot, Juliette"
"Catherine Klein-Gousseff, ed., Retours d’URSS","Mespoulet, Martine"
Comment l'URSS a (un peu) financé le rap français,"Hammou, Karim"
"Symphonie concertante pour violoncelle et orchestre, Op. 125 / Serge Prokofiev, comp. ; Mstislav Rostropovitch, vlc ; Orchestre Symphonique de Léningrad ; Kurt Sanderling, dir.. Valses pour orchestre symphonique [Op. 120] : Valse no 1, Valse no 2 / Serge Prokofiev, comp. ; Orchestre Symphonique de la Radio de l'URSS ; Samuel Samossoud, dir.","Prokofʹev, Sergej Sergeevič (1891-1953). Compositeur"
"Symphonie concertante pour violoncelle et orchestre, Op. 125 / Serge Prokofiev, comp. ; Mstislav Rostropovitch, vlc ; Orchestre Symphonique de Léningrad ; Kurt Sanderling, dir.. Valses pour orchestre symphonique [Op. 120] : Valse no 1, Valse no 2 / Serge Prokofiev, comp. ; Orchestre Symphonique de la Radio de l'URSS ; Samuel Samossoud, dir.","Sanderling, Kurt (1912-2011). Direction d'orchestre"
"Symphonie concertante pour violoncelle et orchestre, Op. 125 / Serge Prokofiev, comp. ; Mstislav Rostropovitch, vlc ; Orchestre Symphonique de Léningrad ; Kurt Sanderling, dir.. Valses pour orchestre symphonique [Op. 120] : Valse no 1, Valse no 2 / Serge Prokofiev, comp. ; Orchestre Symphonique de la Radio de l'URSS ; Samuel Samossoud, dir.","Samosud, Samuil (1884-1964). Direction d'orchestre"
"Symphonie concertante pour violoncelle et orchestre, Op. 125 / Serge Prokofiev, comp. ; Mstislav Rostropovitch, vlc ; Orchestre Symphonique de Léningrad ; Kurt Sanderling, dir.. Valses pour orchestre symphonique [Op. 120] : Valse no 1, Valse no 2 / Serge Prokofiev, comp. ; Orchestre Symphonique de la Radio de l'URSS ; Samuel Samossoud, dir.","Rostropovič, Mstislav Leopolʹdovič (1927-2007). Violoncelle"
"Symphonie concertante pour violoncelle et orchestre, Op. 125 / Serge Prokofiev, comp. ; Mstislav Rostropovitch, vlc ; Orchestre Symphonique de Léningrad ; Kurt Sanderling, dir.. Valses pour orchestre symphonique [Op. 120] : Valse no 1, Valse no 2 / Serge Prokofiev, comp. ; Orchestre Symphonique de la Radio de l'URSS ; Samuel Samossoud, dir.","Bol'šoj simfoničeskij orkestr imeni P. I. Čajkovskogo. Orchestre,"
"Symphonie concertante pour violoncelle et orchestre, Op. 125 / Serge Prokofiev, comp. ; Mstislav Rostropovitch, vlc ; Orchestre Symphonique de Léningrad ; Kurt Sanderling, dir.. Valses pour orchestre symphonique [Op. 120] : Valse no 1, Valse no 2 / Serge Prokofiev, comp. ; Orchestre Symphonique de la Radio de l'URSS ; Samuel Samossoud, dir.","Orchestre philharmonique de Saint-Pétersbourg. Orchestre,"
Des Allemands de la Volga et la lutte contre l’analphabétisme en URSS dans les années 1910-1930,"Alexeeva, Ekaterina"
La crise du glacis et de l'URSS,"Bourdet, Claude"
"Alain Blum, Naître, vivre et mourir en URSS, 1917-1991","Wild, Gérard"
Réformes institutionnelles et croissance économique en URSS : de Khrouchtchev à Gorbatchev,"Chavance, Bernard"
Réformes institutionnelles et croissance économique en URSS : de Khrouchtchev à Gorbatchev,"Bernard, Chavance"
Le commerce et la coopération entre la France et l'URSS dans le domaine agro-alimentaire et agro-industriel,"Andreff, Wladimir"
Le commerce et la coopération entre la France et l'URSS dans le domaine agro-alimentaire et agro-industriel,"Wladimir, Andreff"
Le commerce et la coopération entre la France et l'URSS dans le domaine agro-alimentaire et agro-industriel,"ANDREFF, Wladimir"
Le commerce et la coopération entre la France et l'URSS dans le domaine agro-alimentaire et agro-industriel,"Andreff, W."
"Lévesque, Jacques, L’URSS et la révolution cubaine, Montréal, PUM, 1976, 219 p.","Lessard, Claude"
"Lévesque, Jacques, L’URSS et la révolution cubaine, Montréal, PUM, 1976, 219 p.","LESSARD, Claude"
"Histoire sociale des idéologies contemporaines (Russie, URSS et monde germanique)","Mespoulet, Martine"
"Histoire sociale des idéologies contemporaines (Russie, URSS et monde germanique)","Scherrer, Jutta"
"Histoire sociale des idéologies contemporaines (Russie, URSS et monde germanique)","SCHERRER, Jutta"
"Histoire sociale des idéologies contemporaines (Russie, URSS et monde germanique)","SCHERRER, U."
"Histoire sociale des idéologies contemporaines (Russie, URSS et monde germanique)","Scherrer., Jutta"
"Histoire sociale des idéologies contemporaines (Russie, URSS et monde germanique)","Berelowitch, Wladimir"
"Histoire sociale des idéologies contemporaines (Russie, URSS et monde germanique)","Wladimir, Berelowitch"
Socialisme et protection sociale : une tautologie ? L'enfance abandonnée en URSS (1917-1931),"Caroli, Dorena"
"Simenon et les obsessions de l’écrivain voyageur. Afrique, Amérique, URSS","Denis, Benoît"
L'Economie des forêts de montagne dans l'ex-URSS : l'exemple du Kirghizistan.,"MUELLER (V.),"
L'Economie des forêts de montagne dans l'ex-URSS : l'exemple du Kirghizistan.,"VIENGLOVSKY (B.I.),"
"Conference: ""L’Europe Centrale dans les relations entre la France et l’URSS dans l’entre-deux-guerres""","Vasile, Aurelia"
"Paprik@2F signale : ""La lettre de Riabova"", une lettre de dénonciation dans l'URSS des années 1930","Vasile, Aurelia"
Les religions dans le territoires de l'ex-URSS,"Zwilling, Anne-Laure"
Peindre et vivre en URSS dans les années 1920-1930,"Pichon-Bonin, Cécile"
"Déportés en URSS. Récits d’Européens au Goulag, Alain Blum, Marta Craveri, Valérie Nivelon","Werth, Nicolas"
"Un cadre conceptuel pour le développement de l'éducation permanente en URSS / Unesco, Institut international de planification de l'éducation ; Alexandre Vladislavlev","Vladislavlev, Aleksandr. Auteur du texte"
"Un cadre conceptuel pour le développement de l'éducation permanente en URSS / Unesco, Institut international de planification de l'éducation ; Alexandre Vladislavlev","Institut international de planification de l'éducation. Auteur du texte,"
"Tolstov (Sergei Pavlovitch), Professeur, directeur de l’Institut d’ethnographie de l’Académie des sciences d’URSS","Tolstov, Sergeï Pavlovitch (1907-1976)"
Communiquer en URSS et en Europe socialiste,"Zakharova, Larissa"
Communiquer en URSS et en Europe socialiste,"Roth‑Ey, Kristin,"
La France dans la politique occidentale de l'URSS,"Mendras, Marie"
"La fabrique du ""soviétique"" dans les arts et la culture (URSS, 1917-1953)","Cécile, Vaissié"
"La fabrique du ""soviétique"" dans les arts et la culture (URSS, 1917-1953)","Vaissié, Cécile"
"La fabrique du ""soviétique"" dans les arts et la culture (URSS, 1917-1953)","Vaissie, Cécile"
"La fabrique du ""soviétique"" dans les arts et la culture (URSS, 1917-1953)","Autant-Mathieu, Marie-Christine"
Henry Bogdan. Histoire des peuples de l'ex-URSS : du IXe siècle à nos jours,"Marie-Lucy, Dumas"
L'URSS en 1945 : Le témoignage de Litvinov,"Laloy, Jean"
L'URSS en 1945 : Le témoignage de Litvinov,"Jean, Laloy"
"Le duel USA-URSS dans l'espace / Jean-Pierre Clerc, Paul Iorcète","Clerc, Jean-Pierre"
"Le duel USA-URSS dans l'espace / Jean-Pierre Clerc, Paul Iorcète","Clerc, Jean-Marc"
"Le duel USA-URSS dans l'espace / Jean-Pierre Clerc, Paul Iorcète","Clerc, Jean-Pierre (1941-....). Auteur du texte"
"Le duel USA-URSS dans l'espace / Jean-Pierre Clerc, Paul Iorcète","Clerc, Jean-Louis"
"Le duel USA-URSS dans l'espace / Jean-Pierre Clerc, Paul Iorcète","Clerc, Jean"
"Le duel USA-URSS dans l'espace / Jean-Pierre Clerc, Paul Iorcète","CLERC, JEAN-BENOIT"
"Le duel USA-URSS dans l'espace / Jean-Pierre Clerc, Paul Iorcète","Clerc, Pierre-Michel-Dorothée (procureur général)"
"Le duel USA-URSS dans l'espace / Jean-Pierre Clerc, Paul Iorcète","Clerc, Jean-Baptiste (Abbé)"
"Le duel USA-URSS dans l'espace / Jean-Pierre Clerc, Paul Iorcète","Clerc, Jean-Benoît"
"Le duel USA-URSS dans l'espace / Jean-Pierre Clerc, Paul Iorcète","Iorcète, Paul (1941-....). Auteur du texte"
Maxime Litvinov. L'URSS et la paix,"Luciani, Georges"
Maxime Litvinov. L'URSS et la paix,"Georges, Luciani"
L'invalidité du redressement URSSAF fondé sur une clause admettant le cumul emploi-retraite dans un régime de retraite à prestations définies,"celineleborgne,"
Structure de l'accumulation du capital et technologie en URSS,"Andreff, Wladimir"
Structure de l'accumulation du capital et technologie en URSS,"Wladimir, Andreff"
Structure de l'accumulation du capital et technologie en URSS,"ANDREFF, Wladimir"
Structure de l'accumulation du capital et technologie en URSS,"Andreff, W."
"CNRS-CFEETK 1095. Karnak, KIU 4135 / Temple d’Opet, , Kiosque, Porte, Tableaux extérieursSud (Opet 15 haut, droite) Ptolemees / Ptolemee Neos Dionysos","Guéniot Cl.,"
"Pouvoir local et aménagement du territoire à l'est [Radvanyi J. et Rey V. dir., (1989). Régions et pouvoirs régionaux en Europe de l'Est et en URSS. Paris : Masson]","Brunet, Roger"
Devenir soviétique grâce aux échanges épistolaires ? : Préparer la réinsertion sociale des prisonniers du droit commun en URSS dans les années 1960-1970,"Zakharova, Larissa"
"L'Aveugle, au docteur Coursserant, stances par Raoul Bonnery...","Bonnery, Raoul (1851-1894)"
Les enjeux politiques et pédagogiques de l'illustration pour enfants en URSS dans les années 1920-1930,"Pichon-Bonin, Cécile"
La succession d'États de l'URSS en matière militaire,"Hamant, H."
"CNRS-CFEETK 156988. Karnak, KIU 4135 / Temple d’Opet, , Kiosque, Porte, Tableaux extérieursSud (Opet 15 haut, droite) Ptolemees / Ptolemee Neos Dionysos","Soubias Ph.,"
"Motivatie, leerstrategieën en voorkeur voor doceerbenadering van honoursstudenten in het HBO.","Wolfensberger, Marca"
"Motivatie, leerstrategieën en voorkeur voor doceerbenadering van honoursstudenten in het HBO.","Wolfensberger, Marca V.C."
"Motivatie, leerstrategieën en voorkeur voor doceerbenadering van honoursstudenten in het HBO.","Eggens, Lilian"
"Motivatie, leerstrategieën en voorkeur voor doceerbenadering van honoursstudenten in het HBO.","Kazemier, Elles"
"Motivatie, leerstrategieën en voorkeur voor doceerbenadering van honoursstudenten in het HBO.","Offringa, Johan"
Dans l'ex-URSS : de la difficulté d'écrire l'histoire,"Garros, Véronique"
Dans l'ex-URSS : de la difficulté d'écrire l'histoire,"Véronique, Garros"
"Note sous Cour de cassation, deuxième Chambre civile, 18 janvier 2008, M. contre URSSAF de Paris et autre, pourvoi numéro 06-10.294","Rusquec, Emmanuel du"
"Note sous Cour de cassation, deuxième Chambre civile, 18 janvier 2008, M. contre URSSAF de Paris et autre, pourvoi numéro 06-10.294","Du Rusquec, Emmanuel"
L'Asie centrale dans l'URSS : un héritage fondateur,"Ohayon, Isabelle"
La légitimation du rock en URSS dans les années 1970-1980,"Zaytseva, Anna"
La légitimation du rock en URSS dans les années 1970-1980,"ZAYTSEVA, Anna"
"Les Etats-Unis, l'URSS et le problème chinois","Dean, Vera"
Les «Amis de l'URSS» et le voyage en Union soviétique. La mise en scène d'une conversion (1933-1939),"Mazuy, Rachel"
Les «Amis de l'URSS» et le voyage en Union soviétique. La mise en scène d'une conversion (1933-1939),"MAZUY, Rachel"
Les «Amis de l'URSS» et le voyage en Union soviétique. La mise en scène d'une conversion (1933-1939),"Rachel, Mazuy"
La politique agricole de l'URSS,"Klatzmann, Joseph"
La politique agricole de l'URSS,"KLATZMANN, Joseph"
L'installation des Grecs pontiques de l'Ex-URSS en Thrace et à Athènes : Voyage et enracinement,"Burgel, Guy"
L'installation des Grecs pontiques de l'Ex-URSS en Thrace et à Athènes : Voyage et enracinement,"BURGEL, Guy"
